latitude,longitude,place,cluster
-3.5754,101.5892,"79 km WNW of Bengkulu, Indonesia",1
0.9206,98.5198,"95 km SSW of Sibolga, Indonesia",1
0.2081,96.709,"253 km S of Sinabang, Indonesia",0
-4.9203,102.9791,"103 km SSW of Pagar Alam, Indonesia",1
4.4134,95.433,"82 km WNW of Meulaboh, Indonesia",1
2.9309,95.3897,"120 km WNW of Sinabang, Indonesia",0
-3.1615,100.4063,"164 km SW of Sungai Penuh, Indonesia",0
-3.2114,100.1976,"184 km SW of Sungai Penuh, Indonesia",0
1.8228,96.9785,"98 km SE of Sinabang, Indonesia",0
-2.8938,101.0849,"98 km SSW of Sungai Penuh, Indonesia",0
-4.56,102.6323,"90 km SW of Pagar Alam, Indonesia",1
-4.2753,102.4086,"54 km SSE of Bengkulu, Indonesia",1
-4.8293,102.9678,"94 km SSW of Pagar Alam, Indonesia",1
-5.8666,101.7682,"235 km SSW of Bengkulu, Indonesia",0
0.1364,96.6442,"260 km S of Sinabang, Indonesia",0
-1.9554,99.7862,"127 km SSW of Padang, Indonesia",0
-2.3244,99.79,"Kepulauan Mentawai region, Indonesia",0
0.1831,96.5601,"254 km S of Sinabang, Indonesia",0
0.1975,96.6432,"254 km S of Sinabang, Indonesia",0
-4.5491,102.6262,"90 km SW of Pagar Alam, Indonesia",1
-1.7567,99.2329,"153 km SW of Padang, Indonesia",0
1.0728,98.8358,"59 km SW of Padangsidempuan, Indonesia",1
-5.6856,101.6495,"219 km SSW of Bengkulu, Indonesia",0
-5.6388,101.6825,"213 km SSW of Bengkulu, Indonesia",0
-5.6093,101.6854,"210 km SSW of Bengkulu, Indonesia",0
-4.4396,102.533,"76 km SSE of Bengkulu, Indonesia",1
-4.3366,102.6881,"70 km WSW of Pagar Alam, Indonesia",1
-4.4368,101.0761,"149 km WSW of Bengkulu, Indonesia",0
3.067,96.1349,"70 km NNW of Sinabang, Indonesia",0
-5.0092,102.93,"114 km SSW of Pagar Alam, Indonesia",1
-1.8125,100.4271,"95 km S of Padang, Indonesia",0
-2.6706,99.3227,"222 km SSW of Padang, Indonesia",0
-3.3354,100.3183,"185 km SW of Sungai Penuh, Indonesia",0
-3.3848,100.3604,"186 km SW of Sungai Penuh, Indonesia",0
-3.3684,100.2706,"191 km SW of Sungai Penuh, Indonesia",0
-3.4021,100.2732,"193 km SW of Sungai Penuh, Indonesia",0
-3.2733,100.4042,"173 km SW of Sungai Penuh, Indonesia",0
-3.2572,100.3043,"179 km SW of Sungai Penuh, Indonesia",0
-3.1911,100.3854,"168 km SW of Sungai Penuh, Indonesia",0
-1.14,98.4985,"189 km WSW of Pariaman, Indonesia",0
-4.4773,102.5889,"83 km SSE of Bengkulu, Indonesia",1
-4.0266,101.0051,"142 km W of Bengkulu, Indonesia",0
-4.0808,100.9938,"144 km WSW of Bengkulu, Indonesia",0
-4.4556,100.9629,"161 km WSW of Bengkulu, Indonesia",0
-4.2069,101.2411,"122 km WSW of Bengkulu, Indonesia",0
-4.3217,101.1347,"138 km WSW of Bengkulu, Indonesia",0
-1.7797,100.1815,"93 km SSW of Padang, Indonesia",1
1.7181,97.053,"103 km SW of Singkil, Indonesia",0
-2.4966,99.5207,"194 km SSW of Padang, Indonesia",0
2.8254,95.753,"79 km WNW of Sinabang, Indonesia",0
-5.837,103.0187,"201 km S of Pagar Alam, Indonesia",0
-5.2218,102.2091,"157 km S of Bengkulu, Indonesia",0
-2.9219,101.0474,"103 km SSW of Sungai Penuh, Indonesia",1
2.3481,96.3575,"14 km S of Sinabang, Indonesia",0
-2.9702,100.9448,"112 km SSW of Sungai Penuh, Indonesia",0
-0.9072,97.9212,"246 km W of Pariaman, Indonesia",0
-1.8917,100.2621,"104 km S of Padang, Indonesia",1
0.8354,97.3996,"166 km SSW of Singkil, Indonesia",0
-2.638,99.5867,"205 km SSW of Padang, Indonesia",0
1.3243,96.9811,"139 km SW of Singkil, Indonesia",0
-4.4307,101.1328,"143 km WSW of Bengkulu, Indonesia",0
-4.482,101.1948,"140 km WSW of Bengkulu, Indonesia",0
-3.0402,101.3029,"109 km S of Sungai Penuh, Indonesia",1
-0.7389,99.391,"82 km W of Pariaman, Indonesia",0
-2.7267,100.2171,"150 km WSW of Sungai Penuh, Indonesia",0
0.3426,97.7429,"192 km SW of Sibolga, Indonesia",0
0.378,97.7223,"191 km SW of Sibolga, Indonesia",0
0.6454,98.4492,"122 km SW of Padangsidempuan, Indonesia",1
-4.2655,102.143,"53 km SSW of Bengkulu, Indonesia",1
1.9092,97.8292,"42 km S of Singkil, Indonesia",1
-1.3226,101.5784,"83 km NNE of Sungai Penuh, Indonesia",0
-0.4203,98.0357,"233 km W of Pariaman, Indonesia",0
-2.9676,100.0958,"175 km SW of Sungai Penuh, Indonesia",0
-2.7308,100.3019,"142 km WSW of Sungai Penuh, Indonesia",0
-2.8764,100.1326,"166 km WSW of Sungai Penuh, Indonesia",0
-2.876,100.0594,"173 km WSW of Sungai Penuh, Indonesia",0
-2.8462,100.0743,"170 km WSW of Sungai Penuh, Indonesia",0
-2.8248,100.0068,"175 km WSW of Sungai Penuh, Indonesia",0
-3.3932,101.2762,"118 km WNW of Bengkulu, Indonesia",0
3.9401,95.8773,"35 km SW of Meulaboh, Indonesia",1
-2.4525,99.6762,"182 km SSW of Padang, Indonesia",0
1.0774,97.3382,"142 km SSW of Singkil, Indonesia",0
-1.5499,98.7547,"183 km SW of Pariaman, Indonesia",0
-3.5268,101.5194,"88 km WNW of Bengkulu, Indonesia",1
0.3226,97.1598,"228 km SSW of Singkil, Indonesia",0
0.2267,96.9976,"244 km SSW of Singkil, Indonesia",0
-3.7587,101.8213,"49 km W of Bengkulu, Indonesia",1
-4.9123,102.9571,"103 km SSW of Pagar Alam, Indonesia",1
-5.2755,102.3876,"163 km S of Bengkulu, Indonesia",1
0.821,96.8947,"190 km SSW of Singkil, Indonesia",0
1.0406,97.3762,"145 km SSW of Singkil, Indonesia",0
-2.294,99.468,"178 km SSW of Padang, Indonesia",0
-0.9686,100.7688,"22 km SE of Solok, Indonesia",0
-1.6945,99.8389,"100 km SW of Padang, Indonesia",0
-5.7941,103.3884,"196 km S of Pagar Alam, Indonesia",0
-2.8132,100.2067,"156 km WSW of Sungai Penuh, Indonesia",0
-1.9309,98.6411,"219 km WSW of Padang, Indonesia",0
-1.9281,98.6717,"216 km WSW of Padang, Indonesia",0
-1.9469,98.6868,"215 km WSW of Padang, Indonesia",0
-2.0196,98.5876,"229 km WSW of Padang, Indonesia",0
-4.26,102.4143,"53 km SSE of Bengkulu, Indonesia",1
2.5574,95.9851,"44 km W of Sinabang, Indonesia",0
-4.5415,102.8449,"72 km SW of Pagar Alam, Indonesia",1
0.998,98.7382,"72 km SW of Padangsidempuan, Indonesia",1
4.7466,96.194,"52 km S of Reuleuet, Indonesia",0
-5.028,102.9493,"115 km SSW of Pagar Alam, Indonesia",1
-3.1108,102.1648,"56 km NW of Curup, Indonesia",1
-1.159,99.6881,"76 km SW of Pariaman, Indonesia",1
-2.2958,99.891,"157 km SSW of Padang, Indonesia",0
-3.7682,101.6228,"71 km W of Bengkulu, Indonesia",0
-4.3959,101.9417,"75 km SSW of Bengkulu, Indonesia",1
-5.6622,101.3798,"228 km SSW of Bengkulu, Indonesia",0
-4.1281,102.1165,"39 km SSW of Bengkulu, Indonesia",1
-5.5441,102.7462,"176 km SSW of Pagar Alam, Indonesia",1
3.931,95.8694,"37 km SW of Meulaboh, Indonesia",1
0.7853,98.4838,"109 km SW of Padangsidempuan, Indonesia",1
-2.1582,99.6342,"155 km SSW of Padang, Indonesia",0
-3.0394,101.5421,"110 km S of Sungai Penuh, Indonesia",1
-4.3584,102.3654,"62 km S of Bengkulu, Indonesia",1
0.6114,98.4164,"127 km SW of Padangsidempuan, Indonesia",1
3.6425,95.8593,"62 km SSW of Meulaboh, Indonesia",1
-4.2072,102.0171,"52 km SSW of Bengkulu, Indonesia",1
2.3937,95.2982,"120 km W of Sinabang, Indonesia",0
5.2456,96.1497,"15 km WNW of Reuleuet, Indonesia",0
5.2964,96.066,"15 km SE of Sigli, Indonesia",0
3.3168,98.4696,"14 km NNW of Berastagi, Indonesia",0
-5.2669,102.7235,"southern Sumatra, Indonesia",0
-1.7147,100.3498,"84 km S of Padang, Indonesia",1
5.2296,96.1855,"10 km W of Reuleuet, Indonesia",0
5.2834,96.1678,"14 km WNW of Reuleuet, Indonesia",0
3.4883,96.6866,"95 km SE of Meulaboh, Indonesia",1
2.8781,95.4706,"110 km WNW of Sinabang, Indonesia",0
-4.4346,102.7537,"71 km SW of Pagar Alam, Indonesia",1
-4.9064,101.7667,"134 km SSW of Bengkulu, Indonesia",0
0.5533,98.6145,"117 km SW of Padangsidempuan, Indonesia",0
-2.9097,100.1775,"164 km SW of Sungai Penuh, Indonesia",0
-5.1358,102.8007,"132 km SSW of Pagar Alam, Indonesia",1
-5.9627,104.164,"135 km WSW of Bandar Lampung, Indonesia",1
2.0141,96.7462,"65 km SE of Sinabang, Indonesia",0
0.0313,100.0902,"48 km NW of Bukittinggi, Indonesia",0
0.984,97.4066,"150 km SSW of Singkil, Indonesia",0
-2.1865,99.4112,"172 km SW of Padang, Indonesia",0
-3.3293,101.2686,"122 km WNW of Bengkulu, Indonesia",0
-2.0967,100.6654,"80 km W of Sungai Penuh, Indonesia",1
0.4499,97.9707,"168 km SSW of Sibolga, Indonesia",0
-4.1489,102.211,"39 km S of Bengkulu, Indonesia",0
3.1211,96.2001,"73 km NNW of Sinabang, Indonesia",0
2.0699,96.6882,"56 km SE of Sinabang, Indonesia",0
-0.4798,99.2857,"94 km W of Pariaman, Indonesia",1
2.8539,96.5417,"45 km NNE of Sinabang, Indonesia",1
0.7863,98.8905,"78 km SSW of Padangsidempuan, Indonesia",1
0.5827,98.0365,"152 km SSW of Sibolga, Indonesia",0
-1.454,97.0565,"southwest of Sumatra, Indonesia",0
2.2936,96.337,"21 km SSW of Sinabang, Indonesia",0
-3.7469,101.7758,"54 km W of Bengkulu, Indonesia",1
4.6798,95.1216,"98 km SSW of Banda Aceh, Indonesia",1
-4.7858,103.0184,"87 km SSW of Pagar Alam, Indonesia",0
1.5404,97.9026,"83 km S of Singkil, Indonesia",0
-5.6841,102.4776,"202 km SSW of Pagar Alam, Indonesia",0
-4.4567,102.6599,"80 km SW of Pagar Alam, Indonesia",1
0.2059,96.9588,"247 km SSW of Singkil, Indonesia",0
-0.7789,98.7161,"157 km W of Pariaman, Indonesia",0
1.3368,97.2402,"121 km SSW of Singkil, Indonesia",0
-5.3762,102.4643,"172 km SSW of Pagar Alam, Indonesia",0
-4.762,102.7939,"95 km SSW of Pagar Alam, Indonesia",1
2.5913,96.0946,"34 km WNW of Sinabang, Indonesia",1
2.7185,95.7664,"73 km WNW of Sinabang, Indonesia",0
-3.8295,100.1432,"235 km W of Bengkulu, Indonesia",0
2.7693,96.155,"40 km NW of Sinabang, Indonesia",1
1.6469,97.9208,"72 km SSE of Singkil, Indonesia",0
1.0484,97.221,"150 km SSW of Singkil, Indonesia",0
-4.6839,102.4717,"100 km SSE of Bengkulu, Indonesia",1
1.1309,97.2441,"141 km SSW of Singkil, Indonesia",0
1.1462,97.2556,"139 km SSW of Singkil, Indonesia",0
0.156,98.6285,"153 km SSW of Padangsidempuan, Indonesia",1
-2.1663,100.0392,"139 km SSW of Padang, Indonesia",1
1.9335,96.9388,"86 km SE of Sinabang, Indonesia",0
1.1765,97.0662,"146 km SSW of Singkil, Indonesia",0
-4.9819,102.9751,"110 km SSW of Pagar Alam, Indonesia",1
1.8734,97.8773,"46 km SSE of Singkil, Indonesia",1
1.9623,97.9671,"41 km SSE of Singkil, Indonesia",0
0.6258,98.3891,"128 km SW of Padangsidempuan, Indonesia",1
-5.2416,102.2802,"159 km S of Bengkulu, Indonesia",1
-3.9902,100.4282,"205 km W of Bengkulu, Indonesia",0
1.2069,97.2622,"133 km SSW of Singkil, Indonesia",0
1.0765,97.2362,"147 km SSW of Singkil, Indonesia",0
-5.9326,105.3544,"56 km S of Bandar Lampung, Indonesia",1
-5.7271,101.9974,"215 km S of Bengkulu, Indonesia",0
2.0338,96.6783,"59 km SE of Sinabang, Indonesia",0
2.044,96.8261,"69 km SE of Sinabang, Indonesia",0
0.2604,98.562,"146 km SSW of Padangsidempuan, Indonesia",1
1.2945,97.1165,"132 km SW of Singkil, Indonesia",0
5.1033,95.9709,"31 km S of Sigli, Indonesia",0
-1.9733,100.37,"113 km S of Padang, Indonesia",1
3.9633,95.8634,"35 km SW of Meulaboh, Indonesia",1
-5.7979,103.0884,"196 km S of Pagar Alam, Indonesia",0
-2.0273,100.7661,"69 km W of Sungai Penuh, Indonesia",1
1.1821,95.8566,"154 km SSW of Sinabang, Indonesia",0
-4.7331,103.0449,"81 km SSW of Pagar Alam, Indonesia",1
-3.2883,100.4032,"175 km SW of Sungai Penuh, Indonesia",0
-3.607,101.509,"86 km WNW of Bengkulu, Indonesia",1
5.375,97.969,"93 km ENE of Lhokseumawe, Indonesia",0
-3.395,100.344,"188 km SW of Sungai Penuh, Indonesia",0
-3.359,100.458,"177 km SW of Sungai Penuh, Indonesia",0
-3.269,100.564,"162 km SW of Sungai Penuh, Indonesia",0
4.65,96.705,"61 km S of Bireun, Indonesia",0
4.664,96.65,"59 km S of Bireun, Indonesia",0
4.645,96.665,"61 km S of Bireun, Indonesia",0
-1.78,100.281,"92 km S of Padang, Indonesia",0
-4.942,102.381,"126 km S of Bengkulu, Indonesia",1
-3.952,99.495,"297 km SW of Sungai Penuh, Indonesia",0
3.886,95.918,"36 km SW of Meulaboh, Indonesia",1
-2.249,99.691,"161 km SSW of Padang, Indonesia",0
-2.99,101.297,"103 km S of Sungai Penuh, Indonesia",1
-1.537,100.279,"65 km S of Padang, Indonesia",0
-5.063,103.024,"117 km SSW of Pagar Alam, Indonesia",1
4.927,95.907,"50 km S of Sigli, Indonesia",0
-4.535,102.826,"73 km SW of Pagar Alam, Indonesia",0
0.886,97.464,"159 km SSW of Singkil, Indonesia",0
0.88,98.381,"105 km SSW of Sibolga, Indonesia",1
1.265,97.229,"129 km SSW of Singkil, Indonesia",0
-0.429,97.672,"267 km SW of Padangsidempuan, Indonesia",0
-3.319,100.594,"165 km SSW of Sungai Penuh, Indonesia",0
-4.749,102.995,"84 km SSW of Pagar Alam, Indonesia",1
4.857,96.296,"39 km S of Reuleuet, Indonesia",0
2.707,96.045,"44 km NW of Sinabang, Indonesia",0
-4.381,102.794,"63 km SW of Pagar Alam, Indonesia",1
-3.638,100.591,"186 km W of Bengkulu, Indonesia",1
-4.928,103.194,"100 km S of Pagar Alam, Indonesia",1
-2.921,100.99,"105 km SSW of Sungai Penuh, Indonesia",1
-2.82,100.155,"161 km WSW of Sungai Penuh, Indonesia",0
-4.9,103.03,"99 km SSW of Pagar Alam, Indonesia",1
-3.338,100.439,"176 km SW of Sungai Penuh, Indonesia",0
-3.346,100.452,"176 km SW of Sungai Penuh, Indonesia",0
-3.345,100.426,"178 km SW of Sungai Penuh, Indonesia",0
4.616,95.115,"105 km SSW of Banda Aceh, Indonesia",1
-4.403,101.235,"132 km WSW of Bengkulu, Indonesia",0
4.197,97.062,"104 km E of Meulaboh, Indonesia",1
-4.695,103.103,"75 km SSW of Pagar Alam, Indonesia",0
2.072,96.647,"54 km SSE of Sinabang, Indonesia",0
2.07,96.678,"56 km SE of Sinabang, Indonesia",0
2.405,96.273,"14 km SW of Sinabang, Indonesia",0
4.547,96.419,"55 km NE of Meulaboh, Indonesia",0
-5.841,104.341,"111 km WSW of Bandar Lampung, Indonesia",1
0.032,97.225,"256 km SW of Sibolga, Indonesia",0
-4.323,102.176,"58 km S of Bengkulu, Indonesia",1
0.175,97.874,"200 km SSW of Sibolga, Indonesia",0
-2.288,99.514,"175 km SSW of Padang, Indonesia",0
-2.266,99.448,"177 km SW of Padang, Indonesia",0
-2.219,99.446,"172 km SW of Padang, Indonesia",0
-3.249,101.345,"119 km WNW of Bengkulu, Indonesia",0
-2.456,99.94,"167 km WSW of Sungai Penuh, Indonesia",0
2.448,96.18,"22 km W of Sinabang, Indonesia",0
-3.796,100.616,"183 km W of Bengkulu, Indonesia",0
-4.835,102.794,"102 km SSW of Pagar Alam, Indonesia",1
-2.909,101.092,"100 km SSW of Sungai Penuh, Indonesia",1
-2.837,101.09,"92 km SSW of Sungai Penuh, Indonesia",0
-3.413,100.191,"200 km SW of Sungai Penuh, Indonesia",0
1.402,97.062,"126 km SW of Singkil, Indonesia",0
1.423,97.166,"118 km SW of Singkil, Indonesia",0
-5.044,101.889,"143 km SSW of Bengkulu, Indonesia",0
-1.843,100.145,"101 km SSW of Padang, Indonesia",1
-3.247,101.361,"117 km WNW of Bengkulu, Indonesia",1
1.844,99.109,"38 km ENE of Sibolga, Indonesia",0
1.831,99.225,"50 km N of Padangsidempuan, Indonesia",0
1.171,96.78,"151 km SSE of Sinabang, Indonesia",0
-5.704,103.493,"182 km WSW of Kotabumi, Indonesia",0
-4.178,102.265,"41 km S of Bengkulu, Indonesia",1
-5.272,102.424,"163 km S of Bengkulu, Indonesia",0
-4.893,101.848,"129 km SSW of Bengkulu, Indonesia",0
-3.528,100.631,"183 km SSW of Sungai Penuh, Indonesia",0
4.032,95.756,"42 km WSW of Meulaboh, Indonesia",1
1.612,97.086,"108 km SW of Singkil, Indonesia",0
-4.424,101.123,"144 km WSW of Bengkulu, Indonesia",0
3.973,95.958,"26 km SW of Meulaboh, Indonesia",1
-3.047,100.996,"118 km SSW of Sungai Penuh, Indonesia",1
1.36,97.198,"121 km SSW of Singkil, Indonesia",0
1.898,97.886,"44 km SSE of Singkil, Indonesia",1
2.205,96.829,"58 km ESE of Sinabang, Indonesia",0
-4.247,102.141,"51 km SSW of Bengkulu, Indonesia",1
2.903,95.516,"106 km WNW of Sinabang, Indonesia",0
2.887,95.521,"105 km WNW of Sinabang, Indonesia",0
2.632,96.404,"16 km N of Sinabang, Indonesia",0
-5.03,102.647,"129 km SSW of Pagar Alam, Indonesia",0
2.399,96.285,"13 km SW of Sinabang, Indonesia",0
2.369,96.269,"17 km SW of Sinabang, Indonesia",0
2.491,96.28,"11 km W of Sinabang, Indonesia",0
-2.654,99.996,"168 km WSW of Sungai Penuh, Indonesia",0
-4.458,101.428,"118 km SW of Bengkulu, Indonesia",0
3.931,95.916,"33 km SW of Meulaboh, Indonesia",1
2.715,95.893,"60 km WNW of Sinabang, Indonesia",0
-3.112,101.266,"117 km S of Sungai Penuh, Indonesia",1
-1.735,99.417,"135 km SW of Padang, Indonesia",0
-3.456,100.043,"215 km SW of Sungai Penuh, Indonesia",0
-3.423,99.648,"245 km SW of Sungai Penuh, Indonesia",0
-2.36,99.853,"165 km SSW of Padang, Indonesia",0
-3.783,99.623,"274 km SW of Sungai Penuh, Indonesia",0
-3.597,99.789,"246 km SW of Sungai Penuh, Indonesia",0
-2.494,99.918,"170 km WSW of Sungai Penuh, Indonesia",0
-3.698,99.749,"257 km SW of Sungai Penuh, Indonesia",0
-3.262,100.261,"183 km SW of Sungai Penuh, Indonesia",0
-3.411,99.476,"260 km SW of Sungai Penuh, Indonesia",0
-3.301,100.463,"172 km SW of Sungai Penuh, Indonesia",0
-2.809,100.093,"166 km WSW of Sungai Penuh, Indonesia",0
-2.963,100.504,"140 km SW of Sungai Penuh, Indonesia",0
-2.958,100.372,"150 km SW of Sungai Penuh, Indonesia",0
-3.414,99.938,"220 km SW of Sungai Penuh, Indonesia",0
-3.487,100.082,"215 km SW of Sungai Penuh, Indonesia",0
1.941,96.934,"85 km SE of Sinabang, Indonesia",0
2.221,96.717,"47 km SE of Sinabang, Indonesia",0
-3.953,100.574,"188 km W of Bengkulu, Indonesia",0
-1.348,99.533,"101 km WSW of Padang, Indonesia",0
0.997,99.541,"51 km SE of Padangsidempuan, Indonesia",1
-4.533,102.451,"83 km SSE of Bengkulu, Indonesia",0
-5.001,101.131,"182 km SW of Bengkulu, Indonesia",0
1.369,97.182,"121 km SSW of Singkil, Indonesia",1
-4.489,101.342,"127 km SW of Bengkulu, Indonesia",0
-3.864,100.966,"144 km W of Bengkulu, Indonesia",0
3.498,95.845,"77 km SSW of Meulaboh, Indonesia",0
3.748,96.018,"45 km SSW of Meulaboh, Indonesia",0
-3.879,101.0,"140 km W of Bengkulu, Indonesia",0
-4.054,101.096,"132 km WSW of Bengkulu, Indonesia",0
2.383,97.205,"65 km W of Singkil, Indonesia",1
-5.556,101.728,"203 km SSW of Bengkulu, Indonesia",0
2.63,96.928,"63 km ENE of Sinabang, Indonesia",0
1.911,96.721,"73 km SSE of Sinabang, Indonesia",0
2.346,97.17,"69 km W of Singkil, Indonesia",0
2.383,97.048,"75 km E of Sinabang, Indonesia",0
1.323,97.171,"126 km SSW of Singkil, Indonesia",0
-3.758,100.943,"146 km W of Bengkulu, Indonesia",0
-3.762,100.991,"141 km W of Bengkulu, Indonesia",0
2.112,99.015,"48 km NNE of Sibolga, Indonesia",1
1.522,97.063,"116 km SW of Singkil, Indonesia",0
-1.434,99.393,"119 km WSW of Padang, Indonesia",0
2.675,96.062,"41 km WNW of Sinabang, Indonesia",1
2.759,95.91,"60 km WNW of Sinabang, Indonesia",0
-4.731,103.121,"79 km S of Pagar Alam, Indonesia",1
-5.869,104.276,"119 km WSW of Bandar Lampung, Indonesia",1
0.347,98.418,"148 km SW of Padangsidempuan, Indonesia",1
-2.415,101.424,"39 km S of Sungai Penuh, Indonesia",0
-2.482,101.524,"49 km SSE of Sungai Penuh, Indonesia",0
-0.939,97.974,"241 km W of Pariaman, Indonesia",0
-1.649,99.572,"116 km SW of Padang, Indonesia",0
0.27,96.971,"240 km SSW of Singkil, Indonesia",0
-1.366,99.371,"117 km SW of Pariaman, Indonesia",0
-0.911,97.95,"243 km W of Pariaman, Indonesia",0
-0.965,97.964,"243 km W of Pariaman, Indonesia",0
-1.436,99.45,"114 km WSW of Padang, Indonesia",0
-4.317,101.81,"76 km SW of Bengkulu, Indonesia",0
-1.462,99.404,"119 km WSW of Padang, Indonesia",0
-1.565,99.427,"123 km WSW of Padang, Indonesia",0
-1.448,99.433,"116 km WSW of Padang, Indonesia",0
-1.548,99.415,"123 km WSW of Padang, Indonesia",0
-1.479,99.49,"112 km WSW of Padang, Indonesia",0
-5.517,101.581,"204 km SSW of Bengkulu, Indonesia",0
